part_id,part_name,category,subcategory,brand,compatible_make,compatible_model,compatible_year_start,compatible_year_end,price_usd,stock_quantity,weight_lbs,material,warranty_months,description
P00011,Valeo Coolant,Filters & Fluids,Coolant,Valeo,Honda,Pilot,2014,2020,348.15,248,25.0,Copper,0,"Premium Valeo coolant engineered for Honda Pilot models, offering reliable performance and a direct OEM fit."
P00012,Dorman Motor Oil,Filters & Fluids,Motor Oil,Dorman,Dodge,Durango,2009,2013,110.37,0,42.9,Plastic (ABS),60,"Heavy-duty motor oil from Dorman, compatible with Dodge Durango; tested to meet or exceed OEM specifications."
P00013,Wagner Side Mirror,Body,Side Mirror,Wagner,Mazda,Mazda3,2021,2025,399.34,39,17.0,Semi-Metallic,6,"Semi-Metallic-constructed side mirror by Wagner, a popular upgrade choice for Mazda Mazda3 owners seeking improved reliability."
P00014,Valeo Bumper Cover,Body,Bumper Cover,Valeo,Hyundai,Santa Fe,2008,2010,572.25,212,36.4,Composite,6,"Premium Valeo bumper cover engineered for Hyundai Santa Fe models, offering reliable performance and a direct OEM fit."
P00015,Denso Voltage Regulator,Electrical,Voltage Regulator,Denso,Honda,Fit,2015,2017,499.89,32,29.8,Semi-Metallic,36,"Denso voltage regulator designed as a direct replacement for Honda Fit, built with Semi-Metallic for extended durability."
P00016,Valeo Radiator Hose,Cooling,Radiator Hose,Valeo,Kia,Forte,2022,2026,465.99,102,44.8,Ceramic,60,"Heavy-duty radiator hose from Valeo, compatible with Kia Forte; tested to meet or exceed OEM specifications."
P00017,TRQ LED Bulb Kit,Lighting,LED Bulb Kit,TRQ,Honda,Accord,2011,2013,22.47,141,10.6,Composite,6,"Premium TRQ led bulb kit engineered for Honda Accord models, offering reliable performance and a direct OEM fit."
P00018,Gates Spark Plugs,Engine,Spark Plugs,Gates,Honda,Civic,2021,2025,338.56,71,30.2,Aluminum,6,"Aluminum-constructed spark plugs by Gates, a popular upgrade choice for Honda Civic owners seeking improved reliability."
P00019,Continental Ball Joint,Suspension,Ball Joint,Continental,Mercedes-Benz,GLE,2011,2016,131.04,24,29.8,Plastic (ABS),12,This Continental ball joint restores factory performance on Mercedes-Benz GLE vehicles and installs with standard tools.
P00020,Anco Torque Converter,Transmission,Torque Converter,Anco,Toyota,Prius,2018,2020,267.07,86,36.1,Steel,0,"Anco torque converter designed as a direct replacement for Toyota Prius, built with Steel for extended durability."
P00021,Delphi Starter Motor,Electrical,Starter Motor,Delphi,Volkswagen,Passat,2014,2017,305.53,223,41.6,Rubber,24,"Rubber-constructed starter motor by Delphi, a popular upgrade choice for Volkswagen Passat owners seeking improved reliability."
P00022,SKF Spark Plugs,Engine,Spark Plugs,SKF,BMW,3 Series,2009,2012,269.5,123,9.9,Cast Iron,24,"Premium SKF spark plugs engineered for BMW 3 Series models, offering reliable performance and a direct OEM fit."
P00023,Bosch Sway Bar Link,Suspension,Sway Bar Link,Bosch,Kia,Sportage,2022,2026,280.14,245,33.0,Rubber,36,This Bosch sway bar link restores factory performance on Kia Sportage vehicles and installs with standard tools.
P00024,Duralast Strut Assembly,Suspension,Strut Assembly,Duralast,Chevrolet,Silverado,2017,2023,488.44,14,2.5,Steel,24,"Steel-constructed strut assembly by Duralast, a popular upgrade choice for Chevrolet Silverado owners seeking improved reliability."
P00025,ACDelco Side Mirror,Body,Side Mirror,ACDelco,BMW,3 Series,2021,2024,390.41,172,38.8,Aluminum,24,"Premium ACDelco side mirror engineered for BMW 3 Series models, offering reliable performance and a direct OEM fit."
P00026,Continental Seat Cover,Interior,Seat Cover,Continental,Mercedes-Benz,C-Class,2017,2019,430.37,144,23.7,Plastic (ABS),12,"Continental seat cover designed as a direct replacement for Mercedes-Benz C-Class, built with Plastic (ABS) for extended durability."
P00027,Gates Power Steering Fluid,Filters & Fluids,Power Steering Fluid,Gates,Nissan,Pathfinder,2010,2014,211.66,192,42.1,Copper,0,This Gates power steering fluid restores factory performance on Nissan Pathfinder vehicles and installs with standard tools.
P00028,Motorcraft Cabin Air Filter,Interior,Cabin Air Filter,Motorcraft,Honda,Odyssey,2011,2017,93.89,89,39.7,Rubber,6,"Heavy-duty cabin air filter from Motorcraft, compatible with Honda Odyssey; tested to meet or exceed OEM specifications."
P00029,TRQ Water Pump,Cooling,Water Pump,TRQ,GMC,Acadia,2017,2023,437.09,141,13.7,Steel,60,"Premium TRQ water pump engineered for GMC Acadia models, offering reliable performance and a direct OEM fit."
P00030,Motorcraft Control Arm,Suspension,Control Arm,Motorcraft,Mazda,Mazda3,2019,2025,183.57,154,9.7,Cast Iron,12,"Motorcraft control arm designed as a direct replacement for Mazda Mazda3, built with Cast Iron for extended durability."
P00031,Wagner Power Steering Fluid,Filters & Fluids,Power Steering Fluid,Wagner,Volkswagen,Tiguan,2022,2024,415.57,212,12.7,Aluminum,0,"Heavy-duty power steering fluid from Wagner, compatible with Volkswagen Tiguan; tested to meet or exceed OEM specifications."
P00032,Dorman Ball Joint,Suspension,Ball Joint,Dorman,Ford,Fusion,2015,2021,368.53,28,3.7,Plastic (ABS),60,"Dorman ball joint designed as a direct replacement for Ford Fusion, built with Plastic (ABS) for extended durability."
P00033,NGK Bumper Cover,Body,Bumper Cover,NGK,Mercedes-Benz,A-Class,2010,2015,35.8,93,40.5,Cast Iron,0,"Heavy-duty bumper cover from NGK, compatible with Mercedes-Benz A-Class; tested to meet or exceed OEM specifications."
P00034,Gates Wiring Harness,Electrical,Wiring Harness,Gates,Subaru,Outback,2013,2019,633.22,191,7.2,Plastic (ABS),6,"Gates wiring harness designed as a direct replacement for Subaru Outback, built with Plastic (ABS) for extended durability."
P00035,Bosch Sway Bar Link,Suspension,Sway Bar Link,Bosch,Ford,Fusion,2022,2026,523.22,221,33.2,Plastic (ABS),6,"Heavy-duty sway bar link from Bosch, compatible with Ford Fusion; tested to meet or exceed OEM specifications."
P00036,Motorcraft Ball Joint,Suspension,Ball Joint,Motorcraft,Kia,Optima,2021,2026,136.92,235,20.9,Ceramic,12,"Motorcraft ball joint designed as a direct replacement for Kia Optima, built with Ceramic for extended durability."
P00037,Timken Alternator,Electrical,Alternator,Timken,Chevrolet,Tahoe,2013,2017,628.77,71,16.0,Aluminum,36,This Timken alternator restores factory performance on Chevrolet Tahoe vehicles and installs with standard tools.
P00038,Bendix Motor Oil,Filters & Fluids,Motor Oil,Bendix,Toyota,Camry,2022,2026,381.15,67,2.0,Cast Iron,36,This Bendix motor oil restores factory performance on Toyota Camry vehicles and installs with standard tools.
P00039,Febi Exhaust Manifold,Exhaust,Exhaust Manifold,Febi,Mercedes-Benz,A-Class,2009,2014,130.83,11,32.0,Carbon Fiber Blend,0,"Carbon Fiber Blend-constructed exhaust manifold by Febi, a popular upgrade choice for Mercedes-Benz A-Class owners seeking improved reliability."
P00040,Anco Grille,Body,Grille,Anco,Jeep,Grand Cherokee,2013,2018,617.22,235,15.1,Aluminum,12,"Premium Anco grille engineered for Jeep Grand Cherokee models, offering reliable performance and a direct OEM fit."
P00041,Wagner Wheel Bearing Kit,Wheels & Tires,Wheel Bearing Kit,Wagner,Nissan,Maxima,2014,2018,455.9,141,6.0,Plastic (ABS),24,This Wagner wheel bearing kit restores factory performance on Nissan Maxima vehicles and installs with standard tools.
P00042,Valeo Brake Fluid,Filters & Fluids,Brake Fluid,Valeo,Mercedes-Benz,GLC,2014,2020,203.77,53,19.5,Steel,36,"Steel-constructed brake fluid by Valeo, a popular upgrade choice for Mercedes-Benz GLC owners seeking improved reliability."
P00043,TRQ Power Steering Fluid,Filters & Fluids,Power Steering Fluid,TRQ,Volkswagen,Golf,2018,2021,312.3,230,43.2,Semi-Metallic,60,"TRQ power steering fluid designed as a direct replacement for Volkswagen Golf, built with Semi-Metallic for extended durability."
P00044,Duralast Transmission Fluid,Filters & Fluids,Transmission Fluid,Duralast,BMW,1 Series,2013,2015,440.25,57,36.4,Ceramic,6,"Premium Duralast transmission fluid engineered for BMW 1 Series models, offering reliable performance and a direct OEM fit."
P00045,Centric Brake Rotors,Brakes,Brake Rotors,Centric,Mercedes-Benz,C-Class,2015,2020,133.62,178,17.5,Carbon Fiber Blend,24,"Centric brake rotors designed as a direct replacement for Mercedes-Benz C-Class, built with Carbon Fiber Blend for extended durability."
P00046,Mevotech Ball Joint,Suspension,Ball Joint,Mevotech,Toyota,Sienna,2021,2023,149.27,205,43.1,Plastic (ABS),36,This Mevotech ball joint restores factory performance on Toyota Sienna vehicles and installs with standard tools.
P00047,Gates Brake Master Cylinder,Brakes,Brake Master Cylinder,Gates,Mazda,Mazda3,2015,2018,436.91,143,26.9,Copper,24,"Copper-constructed brake master cylinder by Gates, a popular upgrade choice for Mazda Mazda3 owners seeking improved reliability."
P00048,Febi TPMS Sensor,Wheels & Tires,TPMS Sensor,Febi,GMC,Yukon,2022,2025,297.48,192,11.4,Copper,60,"Heavy-duty tpms sensor from Febi, compatible with GMC Yukon; tested to meet or exceed OEM specifications."
P00049,SKF Fender,Body,Fender,SKF,Chevrolet,Equinox,2015,2017,159.3,85,14.6,Rubber,36,"Premium SKF fender engineered for Chevrolet Equinox models, offering reliable performance and a direct OEM fit."
P00050,Gates Strut Assembly,Suspension,Strut Assembly,Gates,Kia,Rio,2010,2013,274.92,84,24.6,Aluminum,24,"Premium Gates strut assembly engineered for Kia Rio models, offering reliable performance and a direct OEM fit."
P00051,Mahle Ignition Coil,Electrical,Ignition Coil,Mahle,Mazda,Mazda3,2021,2026,314.73,241,16.0,Plastic (ABS),24,This Mahle ignition coil restores factory performance on Mazda Mazda3 vehicles and installs with standard tools.
P00052,Anco Grille,Body,Grille,Anco,BMW,1 Series,2022,2025,149.64,111,22.0,Copper,24,"Heavy-duty grille from Anco, compatible with BMW 1 Series; tested to meet or exceed OEM specifications."
P00053,Anco Coolant,Filters & Fluids,Coolant,Anco,Ford,Edge,2015,2018,351.36,232,17.9,Carbon Fiber Blend,36,"Premium Anco coolant engineered for Ford Edge models, offering reliable performance and a direct OEM fit."
P00054,Moog Fuel Pump,Engine,Fuel Pump,Moog,GMC,Yukon,2010,2012,252.0,54,20.6,Rubber,12,This Moog fuel pump restores factory performance on GMC Yukon vehicles and installs with standard tools.
P00055,Dorman Cooling Fan,Cooling,Cooling Fan,Dorman,GMC,Sierra,2015,2017,42.38,243,15.9,Semi-Metallic,60,"Premium Dorman cooling fan engineered for GMC Sierra models, offering reliable performance and a direct OEM fit."
P00056,Bosch Transmission Fluid,Filters & Fluids,Transmission Fluid,Bosch,Chevrolet,Malibu,2021,2023,106.67,32,21.5,Carbon Fiber Blend,0,"Carbon Fiber Blend-constructed transmission fluid by Bosch, a popular upgrade choice for Chevrolet Malibu owners seeking improved reliability."
P00057,Mevotech Ignition Coil,Electrical,Ignition Coil,Mevotech,Nissan,Murano,2013,2016,398.24,191,32.4,Carbon Fiber Blend,6,"Heavy-duty ignition coil from Mevotech, compatible with Nissan Murano; tested to meet or exceed OEM specifications."
P00058,Duralast Spark Plugs,Engine,Spark Plugs,Duralast,Mercedes-Benz,GLE,2014,2017,388.52,212,28.3,Aluminum,0,"Heavy-duty spark plugs from Duralast, compatible with Mercedes-Benz GLE; tested to meet or exceed OEM specifications."
P00059,Motorcraft Motor Oil,Filters & Fluids,Motor Oil,Motorcraft,Dodge,Charger,2013,2019,433.03,17,22.9,Plastic (ABS),12,"Premium Motorcraft motor oil engineered for Dodge Charger models, offering reliable performance and a direct OEM fit."
P00060,Motorcraft Torque Converter,Transmission,Torque Converter,Motorcraft,Kia,Sportage,2018,2023,288.14,187,23.6,Cast Iron,60,"Heavy-duty torque converter from Motorcraft, compatible with Kia Sportage; tested to meet or exceed OEM specifications."
P00061,Centric Cabin Air Filter,Interior,Cabin Air Filter,Centric,Volkswagen,Golf,2021,2026,215.59,62,37.4,Rubber,0,"Heavy-duty cabin air filter from Centric, compatible with Volkswagen Golf; tested to meet or exceed OEM specifications."
P00062,TRQ Tail Light Assembly,Lighting,Tail Light Assembly,TRQ,Mercedes-Benz,A-Class,2018,2023,27.39,217,14.8,Composite,24,"TRQ tail light assembly designed as a direct replacement for Mercedes-Benz A-Class, built with Composite for extended durability."
P00063,Bendix Exhaust Manifold,Exhaust,Exhaust Manifold,Bendix,Nissan,Frontier,2019,2023,15.5,242,8.8,Semi-Metallic,6,This Bendix exhaust manifold restores factory performance on Nissan Frontier vehicles and installs with standard tools.
P00064,Gates LED Bulb Kit,Lighting,LED Bulb Kit,Gates,Jeep,Compass,2018,2023,517.26,23,13.5,Copper,24,"Gates led bulb kit designed as a direct replacement for Jeep Compass, built with Copper for extended durability."
P00065,NGK Radiator Hose,Cooling,Radiator Hose,NGK,Volkswagen,Atlas,2016,2020,647.83,140,15.1,Plastic (ABS),60,This NGK radiator hose restores factory performance on Volkswagen Atlas vehicles and installs with standard tools.
P00066,Dorman Thermostat,Cooling,Thermostat,Dorman,Chevrolet,Silverado,2019,2022,85.62,137,42.8,Composite,60,"Dorman thermostat designed as a direct replacement for Chevrolet Silverado, built with Composite for extended durability."
P00067,Anco Starter Motor,Electrical,Starter Motor,Anco,Volkswagen,Tiguan,2019,2025,391.53,25,37.5,Semi-Metallic,12,"Anco starter motor designed as a direct replacement for Volkswagen Tiguan, built with Semi-Metallic for extended durability."
P00068,Duralast Catalytic Converter,Exhaust,Catalytic Converter,Duralast,Toyota,Prius,2016,2019,38.17,13,25.0,Rubber,60,"Duralast catalytic converter designed as a direct replacement for Toyota Prius, built with Rubber for extended durability."
P00069,Motorcraft Coolant,Filters & Fluids,Coolant,Motorcraft,GMC,Sierra,2017,2021,315.85,87,8.5,Copper,0,"Heavy-duty coolant from Motorcraft, compatible with GMC Sierra; tested to meet or exceed OEM specifications."
P00070,Denso Headlight Assembly,Lighting,Headlight Assembly,Denso,Kia,Sorento,2009,2015,106.25,207,25.5,Steel,12,"Premium Denso headlight assembly engineered for Kia Sorento models, offering reliable performance and a direct OEM fit."
P00071,Delphi Alternator,Electrical,Alternator,Delphi,Dodge,Journey,2017,2023,153.66,133,17.3,Carbon Fiber Blend,24,"Heavy-duty alternator from Delphi, compatible with Dodge Journey; tested to meet or exceed OEM specifications."
P00072,Duralast Steering Wheel Cover,Interior,Steering Wheel Cover,Duralast,Mercedes-Benz,A-Class,2008,2014,616.4,53,28.3,Aluminum,12,"Premium Duralast steering wheel cover engineered for Mercedes-Benz A-Class models, offering reliable performance and a direct OEM fit."
P00073,Monroe Strut Assembly,Suspension,Strut Assembly,Monroe,BMW,3 Series,2010,2012,297.76,152,21.3,Plastic (ABS),0,"Monroe strut assembly designed as a direct replacement for BMW 3 Series, built with Plastic (ABS) for extended durability."
P00074,Mevotech Thermostat,Cooling,Thermostat,Mevotech,GMC,Yukon,2009,2012,513.99,160,26.7,Rubber,6,This Mevotech thermostat restores factory performance on GMC Yukon vehicles and installs with standard tools.
P00075,SKF Engine Mount,Engine,Engine Mount,SKF,Ford,Explorer,2021,2024,47.22,202,14.1,Aluminum,60,"Aluminum-constructed engine mount by SKF, a popular upgrade choice for Ford Explorer owners seeking improved reliability."
P00076,Motorcraft Cooling Fan,Cooling,Cooling Fan,Motorcraft,Volkswagen,Tiguan,2019,2024,329.79,126,19.9,Rubber,36,"Premium Motorcraft cooling fan engineered for Volkswagen Tiguan models, offering reliable performance and a direct OEM fit."
P00077,Valeo CV Axle,Transmission,CV Axle,Valeo,Nissan,Altima,2009,2012,385.34,5,45.0,Carbon Fiber Blend,60,"Heavy-duty cv axle from Valeo, compatible with Nissan Altima; tested to meet or exceed OEM specifications."
P00078,Monroe Floor Mats,Interior,Floor Mats,Monroe,Volkswagen,Atlas,2018,2023,125.32,149,19.8,Rubber,24,"Premium Monroe floor mats engineered for Volkswagen Atlas models, offering reliable performance and a direct OEM fit."
P00079,Febi Fog Light,Lighting,Fog Light,Febi,Hyundai,Tucson,2018,2020,220.39,177,22.4,Cast Iron,60,This Febi fog light restores factory performance on Hyundai Tucson vehicles and installs with standard tools.
P00080,TRQ Bumper Cover,Body,Bumper Cover,TRQ,Honda,CR-V,2012,2016,630.88,103,39.0,Aluminum,0,"Aluminum-constructed bumper cover by TRQ, a popular upgrade choice for Honda CR-V owners seeking improved reliability."
P00081,ACDelco Turn Signal Lamp,Lighting,Turn Signal Lamp,ACDelco,Chevrolet,Cruze,2013,2019,409.88,194,2.6,Copper,12,"Copper-constructed turn signal lamp by ACDelco, a popular upgrade choice for Chevrolet Cruze owners seeking improved reliability."
P00082,TRQ Control Arm,Suspension,Control Arm,TRQ,Mazda,CX-9,2009,2011,521.35,181,7.4,Carbon Fiber Blend,36,"Premium TRQ control arm engineered for Mazda CX-9 models, offering reliable performance and a direct OEM fit."
P00083,Denso Fender,Body,Fender,Denso,Chevrolet,Traverse,2022,2024,616.06,165,37.5,Copper,24,"Heavy-duty fender from Denso, compatible with Chevrolet Traverse; tested to meet or exceed OEM specifications."
P00084,Dorman Grille,Body,Grille,Dorman,Kia,Sorento,2015,2018,362.35,98,8.8,Copper,36,"Copper-constructed grille by Dorman, a popular upgrade choice for Kia Sorento owners seeking improved reliability."
P00085,Denso Lug Nuts,Wheels & Tires,Lug Nuts,Denso,Nissan,Murano,2020,2025,607.84,129,12.2,Composite,0,"Heavy-duty lug nuts from Denso, compatible with Nissan Murano; tested to meet or exceed OEM specifications."
P00086,Continental Wheel Bearing Kit,Wheels & Tires,Wheel Bearing Kit,Continental,Mercedes-Benz,GLE,2021,2024,354.22,88,15.2,Copper,36,This Continental wheel bearing kit restores factory performance on Mercedes-Benz GLE vehicles and installs with standard tools.
P00087,KYB Fog Light,Lighting,Fog Light,KYB,Jeep,Grand Cherokee,2017,2022,557.69,105,2.3,Ceramic,60,This KYB fog light restores factory performance on Jeep Grand Cherokee vehicles and installs with standard tools.
P00088,Mahle Hub Assembly,Wheels & Tires,Hub Assembly,Mahle,Subaru,Forester,2015,2017,330.96,151,15.1,Cast Iron,0,This Mahle hub assembly restores factory performance on Subaru Forester vehicles and installs with standard tools.
P00089,Bosch Fuel Injector,Engine,Fuel Injector,Bosch,Jeep,Grand Cherokee,2014,2017,309.93,248,12.1,Aluminum,36,This Bosch fuel injector restores factory performance on Jeep Grand Cherokee vehicles and installs with standard tools.
P00090,Bendix Transmission Fluid,Filters & Fluids,Transmission Fluid,Bendix,GMC,Yukon,2013,2018,32.0,17,10.8,Semi-Metallic,60,"Heavy-duty transmission fluid from Bendix, compatible with GMC Yukon; tested to meet or exceed OEM specifications."
P00091,Denso Wiring Harness,Electrical,Wiring Harness,Denso,Kia,Optima,2020,2022,115.63,76,40.7,Copper,0,"Heavy-duty wiring harness from Denso, compatible with Kia Optima; tested to meet or exceed OEM specifications."
P00092,NGK Brake Calipers,Brakes,Brake Calipers,NGK,Hyundai,Santa Fe,2010,2013,273.12,174,35.7,Semi-Metallic,6,"NGK brake calipers designed as a direct replacement for Hyundai Santa Fe, built with Semi-Metallic for extended durability."
P00093,Valeo Fuel Pump,Engine,Fuel Pump,Valeo,Subaru,Forester,2015,2021,157.82,163,11.7,Cast Iron,12,"Premium Valeo fuel pump engineered for Subaru Forester models, offering reliable performance and a direct OEM fit."
P00094,Timken Fog Light,Lighting,Fog Light,Timken,BMW,5 Series,2009,2014,642.07,76,28.9,Composite,24,"Heavy-duty fog light from Timken, compatible with BMW 5 Series; tested to meet or exceed OEM specifications."
P00095,KYB Fog Light,Lighting,Fog Light,KYB,Kia,Sorento,2009,2012,375.59,147,13.5,Plastic (ABS),60,"Heavy-duty fog light from KYB, compatible with Kia Sorento; tested to meet or exceed OEM specifications."
P00096,Dorman Brake Lines,Brakes,Brake Lines,Dorman,Toyota,Tacoma,2021,2023,486.65,213,40.7,Carbon Fiber Blend,12,"Dorman brake lines designed as a direct replacement for Toyota Tacoma, built with Carbon Fiber Blend for extended durability."
P00097,Gates Dashboard Cover,Interior,Dashboard Cover,Gates,Subaru,Forester,2017,2021,411.7,231,28.3,Cast Iron,0,"Heavy-duty dashboard cover from Gates, compatible with Subaru Forester; tested to meet or exceed OEM specifications."
P00098,Continental Headlight Assembly,Lighting,Headlight Assembly,Continental,Hyundai,Kona,2010,2012,218.42,106,8.2,Rubber,6,"Rubber-constructed headlight assembly by Continental, a popular upgrade choice for Hyundai Kona owners seeking improved reliability."
P00099,Wagner Exhaust Pipe,Exhaust,Exhaust Pipe,Wagner,Mazda,CX-5,2021,2024,594.9,241,21.8,Rubber,12,"Heavy-duty exhaust pipe from Wagner, compatible with Mazda CX-5; tested to meet or exceed OEM specifications."
P00100,Denso Fuel Injector,Engine,Fuel Injector,Denso,Ford,Edge,2011,2016,243.45,202,17.9,Semi-Metallic,12,"Semi-Metallic-constructed fuel injector by Denso, a popular upgrade choice for Ford Edge owners seeking improved reliability."
P00101,NGK Fuel Injector,Engine,Fuel Injector,NGK,Subaru,Impreza,2017,2022,78.44,59,21.4,Composite,36,"Composite-constructed fuel injector by NGK, a popular upgrade choice for Subaru Impreza owners seeking improved reliability."
P00102,Gates Exhaust Pipe,Exhaust,Exhaust Pipe,Gates,Subaru,Outback,2018,2023,425.15,29,6.5,Rubber,0,"Heavy-duty exhaust pipe from Gates, compatible with Subaru Outback; tested to meet or exceed OEM specifications."
P00103,Motorcraft Headlight Assembly,Lighting,Headlight Assembly,Motorcraft,Chevrolet,Cruze,2010,2015,246.81,243,33.5,Copper,36,This Motorcraft headlight assembly restores factory performance on Chevrolet Cruze vehicles and installs with standard tools.
P00104,Febi Seat Cover,Interior,Seat Cover,Febi,Subaru,Outback,2021,2026,270.59,243,12.8,Carbon Fiber Blend,60,"Heavy-duty seat cover from Febi, compatible with Subaru Outback; tested to meet or exceed OEM specifications."
P00105,TRQ Ignition Coil,Electrical,Ignition Coil,TRQ,Chevrolet,Traverse,2013,2015,357.99,250,29.1,Composite,0,This TRQ ignition coil restores factory performance on Chevrolet Traverse vehicles and installs with standard tools.
P00106,Motorcraft Water Pump,Cooling,Water Pump,Motorcraft,GMC,Yukon,2009,2012,631.46,12,35.5,Carbon Fiber Blend,6,"Motorcraft water pump designed as a direct replacement for GMC Yukon, built with Carbon Fiber Blend for extended durability."
P00107,Denso Seat Cover,Interior,Seat Cover,Denso,GMC,Terrain,2017,2020,219.6,37,35.6,Ceramic,36,"Premium Denso seat cover engineered for GMC Terrain models, offering reliable performance and a direct OEM fit."
P00108,Moog Water Pump,Cooling,Water Pump,Moog,BMW,X3,2020,2023,432.73,6,6.2,Aluminum,12,"Moog water pump designed as a direct replacement for BMW X3, built with Aluminum for extended durability."
P00109,Bosch Dashboard Cover,Interior,Dashboard Cover,Bosch,Ford,Explorer,2008,2011,346.21,190,3.1,Plastic (ABS),24,"Heavy-duty dashboard cover from Bosch, compatible with Ford Explorer; tested to meet or exceed OEM specifications."
P00110,Motorcraft Hood,Body,Hood,Motorcraft,Volkswagen,Atlas,2011,2017,475.15,232,39.1,Steel,36,"Heavy-duty hood from Motorcraft, compatible with Volkswagen Atlas; tested to meet or exceed OEM specifications."
P00111,ACDelco Headlight Assembly,Lighting,Headlight Assembly,ACDelco,Volkswagen,Golf,2014,2016,465.64,113,3.6,Copper,0,"Heavy-duty headlight assembly from ACDelco, compatible with Volkswagen Golf; tested to meet or exceed OEM specifications."
P00112,Denso Seat Cover,Interior,Seat Cover,Denso,Ford,Explorer,2017,2023,465.48,97,44.8,Semi-Metallic,36,"Heavy-duty seat cover from Denso, compatible with Ford Explorer; tested to meet or exceed OEM specifications."
P00113,Valeo LED Bulb Kit,Lighting,LED Bulb Kit,Valeo,Kia,Optima,2020,2022,471.05,55,19.5,Semi-Metallic,6,This Valeo led bulb kit restores factory performance on Kia Optima vehicles and installs with standard tools.
P00114,Mahle Oxygen Sensor,Exhaust,Oxygen Sensor,Mahle,Kia,Rio,2009,2013,209.32,65,17.0,Plastic (ABS),6,This Mahle oxygen sensor restores factory performance on Kia Rio vehicles and installs with standard tools.
P00115,Denso Timing Belt,Engine,Timing Belt,Denso,Honda,Pilot,2009,2013,365.62,150,43.1,Cast Iron,36,"Heavy-duty timing belt from Denso, compatible with Honda Pilot; tested to meet or exceed OEM specifications."
P00116,Febi Transmission Fluid,Filters & Fluids,Transmission Fluid,Febi,Hyundai,Kona,2020,2025,629.73,153,14.3,Steel,0,"Steel-constructed transmission fluid by Febi, a popular upgrade choice for Hyundai Kona owners seeking improved reliability."
P00117,Moog Side Mirror,Body,Side Mirror,Moog,Subaru,Legacy,2011,2013,550.87,94,5.4,Composite,12,"Composite-constructed side mirror by Moog, a popular upgrade choice for Subaru Legacy owners seeking improved reliability."
P00118,Delphi Ignition Coil,Electrical,Ignition Coil,Delphi,Dodge,Charger,2017,2021,124.64,179,34.4,Steel,12,"Heavy-duty ignition coil from Delphi, compatible with Dodge Charger; tested to meet or exceed OEM specifications."
P00119,Moog Brake Rotors,Brakes,Brake Rotors,Moog,Mercedes-Benz,GLE,2009,2012,67.81,135,9.9,Steel,24,This Moog brake rotors restores factory performance on Mercedes-Benz GLE vehicles and installs with standard tools.
P00120,NGK Catalytic Converter,Exhaust,Catalytic Converter,NGK,Nissan,Maxima,2013,2019,63.45,13,7.3,Carbon Fiber Blend,36,"Premium NGK catalytic converter engineered for Nissan Maxima models, offering reliable performance and a direct OEM fit."
